"","logFC","AveExpr","t","P.Value","adj.P.Val","B","type"
"PF3D7_1468700",-1.15095027850539,23.8491519230712,-12.053286348132,0.0000809735327602267,0.000153221323478649,2.22091970970947,"Stable"
"PF3D7_0317500",-1.15632249736367,7.52933108143323,-0.240103292832503,0.820004556616452,0.828650553606304,-7.64273260874755,"Stable"
"PF3D7_1032100",-1.16212306469637,16.936741695655,-5.3825897354701,0.00320762656130778,0.00434604759534335,-2.0182729034673,"Stable"
"PF3D7_0802000",-1.17150829514169,20.9102215961396,-11.9113624326101,0.0000856546441948059,0.000159976520080761,2.15759699711051,"Stable"
"PF3D7_0531400",-1.17231544927657,13.3635010406457,-6.30259968768613,0.00161378690557306,0.00225015769911834,-1.22061025170965,"Stable"
"PF3D7_1112500",-1.176057434328,13.5333397835353,-6.7917144635726,0.00115689902367396,0.00164458479477773,-0.83397197348703,"Stable"
"PF3D7_0826100",-1.1771239938138,15.3509281168264,-2.71127373774139,0.0432736486066453,0.0506435180672886,-4.98490753215911,"Stable"
"PF3D7_1205500",-1.1876880681191,16.5082205167421,-13.7123768803302,0.0000438156914122424,0.0000924546628756586,2.90714337769416,"Stable"
"PF3D7_0706500",-1.21004381141072,19.28794808284,-8.92129172603165,0.000332900415637178,0.000519907081368183,0.608255958257113,"Stable"
"PF3D7_1467900",-1.21455688778144,15.2097253258055,-5.88279512923192,0.00218473651306438,0.00300938365377476,-1.57249159673157,"Stable"
"PF3D7_1134000",-1.21890350856423,23.8039773451713,-10.5213626165487,0.000153954286492,0.000259824611401234,1.49260132196637,"Stable"
"PF3D7_1455700",-1.22561377526959,14.825243058946,-5.16853127198764,0.00381231878203982,0.0051385880844519,-2.21850985716748,"Stable"
"PF3D7_1118500",-1.23422745822215,18.7877972197957,-5.85709584380399,0.00222686115610556,0.00305815547908614,-1.59467191079174,"Stable"
"PF3D7_0621300",-1.23639399796676,5.07160760115997,-1.33179656473167,0.241712635409967,0.255906226210203,-6.76797028378234,"Stable"
"PF3D7_0621900",-1.23760023159704,18.498337782992,-6.18490778138478,0.0017538704041096,0.002434297260582,-1.31731768255773,"Stable"
"PF3D7_1304300",-1.23775802735406,3.92124656313495,-1.72509167727297,0.146518455995361,0.158156555048934,-6.28112411707162,"Stable"
"PF3D7_1309300",-1.24676957067317,16.1295325001602,-8.20646826093196,0.000489676996121074,0.000741231762208209,0.162761393415157,"Stable"
"PF3D7_0422700",-1.25007337115229,19.045009636627,-14.2061890411288,0.0000369984519916283,0.00008068764200809,3.09404536319479,"Stable"
"PF3D7_1433400",-1.25244164769916,18.5416162456217,-1.29226375591735,0.254045392816899,0.268370920252234,-6.81403901287909,"Stable"
"PF3D7_0310900",-1.25776443763105,18.5549804106924,-9.28676244063751,0.000276211553907888,0.000441211613742337,0.823137197728339,"Stable"
"PF3D7_1361000",-1.25828771076129,15.7309580460369,-5.32152549788726,0.00336782235067943,0.00454955823485701,-2.07479532126389,"Stable"
"PF3D7_1445900",-1.26712148024825,19.4838830281457,-11.7600482476265,0.0000910076035012451,0.000168077937095099,2.08920722828902,"Stable"
"PF3D7_1311500",-1.27033385808092,20.8771122830149,-5.83281270949527,0.00226754861867493,0.0031093418935294,-1.61569984587931,"Stable"
"PF3D7_1409900",-1.27859947126218,19.0433161253396,-6.05465149506054,0.00192602615679594,0.0026651167412807,-1.42609337582312,"Stable"
"PF3D7_1004400",-1.2830839095662,20.3987403526364,-9.9674431428268,0.000198471978517758,0.000327074636091255,1.20238383871787,"Stable"
"PF3D7_0821200",-1.28401223049905,15.0098258298011,-4.78042074388731,0.00528698769188575,0.0070018942450356,-2.59703367072454,"Stable"
"PF3D7_1108000",-1.28476279846001,16.3237135879628,-4.26304830031884,0.00842614941108436,0.0109208775580751,-3.13457384634389,"Stable"
"PF3D7_1305900",-1.28500439391185,15.3338494520141,-12.1907956983778,0.0000767276731388488,0.000146151770696489,2.28152848794163,"Stable"
"PF3D7_1407100",-1.28514780733125,19.4663958741549,-13.7517310849219,0.0000432199477645826,0.000091515726603843,2.92230901063171,"Stable"
"PF3D7_1465200",-1.28613260701212,15.7869378519448,-14.1837525440226,0.000037279247737678,0.00008120276331377,3.08571051831146,"Stable"
